zip_code,beds,baths,sqft,date,zip_median_price,sale_price
75002,3.0,2.0,1666.0,2020-04-30,310680.76416435675,395000.0
75002,3.0,2.0,1671.0,2020-07-31,310802.18325338693,416000.0
75002,3.0,2.0,1678.0,2025-03-31,477489.7147595111,424900.0
75002,3.0,2.0,1683.0,2021-04-30,348358.23468689126,409900.0
75002,3.0,2.0,1716.0,2018-07-31,304361.5954613364,375000.0
75002,3.0,2.0,1742.0,2021-10-31,395277.9966274058,412000.0
75002,3.0,2.0,1746.0,2018-05-31,303065.1801522967,359990.0
75002,3.0,2.0,1752.0,2016-02-29,261719.21400605945,299000.0
75002,3.0,2.0,1759.0,2024-08-31,483620.4875033735,400000.0
75002,3.0,2.0,1761.0,2019-01-31,305591.15336180246,390000.0
75002,3.0,2.0,1781.0,2022-08-31,489476.5068801926,390000.0
75002,3.0,2.0,1794.0,2016-08-31,274115.9998799583,387900.0
75002,3.0,2.0,1805.0,2017-11-30,296781.19100958755,392000.0
75002,3.0,2.0,1807.0,2023-09-30,482625.1345323315,399000.0
75002,3.0,2.0,1810.0,2019-11-30,303422.3147067572,365000.0
75002,3.0,2.0,1843.0,2020-10-31,318201.85999520007,375000.0
75002,3.0,2.0,1851.0,2023-02-28,471165.4754370104,384900.0
75002,3.0,2.0,1856.0,2022-10-31,479103.7951819729,399000.0
75002,3.0,2.0,1875.0,2016-09-30,275378.1086838891,379999.0
75002,3.0,2.0,1875.0,2023-05-31,472825.004949228,400000.0
75002,3.0,2.0,1878.0,2016-03-31,263874.5723322207,399000.0
75002,3.0,2.0,1922.0,2025-01-31,479925.37085667247,430000.0
75002,3.0,2.0,1926.0,2019-08-31,302608.37678837177,375000.0
75002,3.0,2.0,1928.0,2016-04-30,265994.83169045165,395000.0
75002,3.0,2.0,1933.0,2015-01-31,230939.73896289212,399000.0
75002,3.0,2.0,1955.0,2015-01-31,230939.73896289212,429900.0
75002,3.0,2.0,1969.0,2024-08-31,483620.4875033735,375000.0
75002,3.0,2.0,1969.0,2017-04-30,287835.29456428805,436000.0
75002,3.0,2.0,1973.0,2020-09-30,314750.77256218443,415000.0
75002,3.0,2.0,2050.0,2022-12-31,473280.98370092845,450000.0
75002,3.0,2.0,2082.0,2020-10-31,318201.85999520007,455900.0
75002,3.0,2.0,2144.0,2025-09-30,461800.40270064026,453001.0
75002,3.0,2.0,2202.0,2016-10-31,276770.07065122604,429500.0
75002,3.0,2.0,2223.0,2023-12-31,481651.2971861383,414900.0
75002,3.0,2.0,2249.0,2021-06-30,367415.0896024727,385000.0
75002,3.0,2.0,2257.0,2017-03-31,285740.32784390636,440000.0
75002,3.0,2.0,2439.0,2015-06-30,245339.66318939067,460000.0
75002,3.0,2.0,2469.0,2019-10-31,302662.3453728787,750000.0
75002,3.0,2.0,2537.0,2016-12-31,280396.3608068549,520000.0
75002,3.0,2.0,3083.0,2025-04-30,475428.6342662429,730000.0
75002,3.0,3.0,1245.0,2024-03-31,483608.69800301926,265000.0
75002,3.0,3.0,1344.0,2015-05-31,242747.5570148737,275000.0
75002,3.0,3.0,1701.0,2018-05-31,303065.1801522967,335000.0
75002,3.0,3.0,1861.0,2021-08-31,383730.1468817133,359900.0
75002,3.0,3.0,1893.0,2023-03-31,470456.0526439177,429000.0
75002,3.0,3.0,1893.0,2025-05-31,472767.0556787857,434000.0
75002,3.0,3.0,1893.0,2024-11-30,480821.4655511863,600750.0
75002,3.0,3.0,1922.0,2025-11-30,457733.3108526523,369900.0
75002,3.0,3.0,1951.0,2025-04-30,475428.6342662429,490000.0
75002,3.0,3.0,1975.0,2021-08-31,383730.1468817133,449000.0
75002,3.0,3.0,1975.0,2024-01-31,481132.82119687187,594000.0
75002,3.0,3.0,2015.0,2020-12-31,326285.82287165464,459000.0
75002,3.0,3.0,2015.0,2023-04-30,470462.8128715809,469000.0
75002,3.0,3.0,2053.0,2017-03-31,285740.32784390636,359000.0
75002,3.0,3.0,2096.0,2018-05-31,303065.1801522967,506990.0
